area_mounting, floor_number, drawing_grids
A1, L2, AA
A2, L2, AB
A3, L2, AC-AD-BD
A4, L2, AE-BE-AF 
A5, L2, AG
A6, L2, AH-AI
ABS30, L1, ABS30
ABS33, L1, ABS33
ABS34, L1, ABS34
ABS35, L1, ABS35
ABS36, L1, ABS36
ABS39, L1, ABS39
ACB30, L1, ACB30
ACB31, L1, ACB31
ACB32, L1, ACB32
ACB33, L1, ACB33
ACB34, L1, ACB34
ACB35, L1, ACB35
ACB36, L1, ACB36
ACB37, L1, ACB37
ACB38, L1, ACB38
ACB39, L1, ACB39
B1, L1M, BA-CA-DA
B10, L1M, BH-CH-DH
B2, L1M, BA-CA-DA
B3, L1M, CB
B4, L1M, BB-CB-DB
B5, L1M, AC-BC-BD-CD-DD
B6, L1M, BE-BF-CF-DF
B7, L1M, BG-CG-DG
B8, L1M, CG-CH
B9, L1M, BH-CH-DH
C1, L1M, DA-EA
C10, L1M, DF-DG-DH-EH
C11, L1M, DH-EH
C2, L1M, DA-EA-EB-FD
C3, L1M, DA-DB-EA-EB
C4, L1M, DB-DC-EB-EC
C5, L1M, DC-EC
C6, L1M, DC-DD-EC-ED
C7, L1M, DE-DF-EE-EF
C8, L1M, DF-DG-EF-EG
C9, L1M, DG-DH-EG-EH-FG
D1, L1M, FD-FE 
D10, L1M, DD-DE-ED-EE-FG-FH
D2, L1M, EB-FE
D3, L1M, EB-FE
D4, L1M, DB-DC-EC-FF
D5, L1M, EC-ED-FF-FG
D6, L1M, EE-FH
D7, L1M, EF-FI
D8, L1M, EF-EG-FI-FG
D9, L1M, EG-EH-FJ-FK
E1, L1M, FB-FC-FD
E2, L1M, FA-FB
OST030, L1M, OST030
OST040, L1M, OST040
RT01, L1, RT01
RT02, L1, RT02
RT03, L1, RT03
RT04, L1, RT04
RT05, L1, RT05
RT06, L1, RT06
RT07, L1, RT07
RT08, L1, RT08
RT09, L1, RT09
RT10, L1, RT10
RT11, L1, RT11
RT12, L1, RT12
RT13, L1, RT13
TF1, L1, LA-LB-MA-MB-NA-NB-PA-PB-QA-RA
TF2, L1, GA-GB-HA-HB-KA-KB-LA
TF3, L1, DH-EH-EI-EJ-FK-FL-FM
TF4, L1, FM-GA
